Date,Alpine,Ararat,Ballarat,Banyule,Bass Coast,Baw Baw,Bayside,Benalla,Boroondara,Brimbank,Buloke,Campaspe,Cardinia,Casey,Central Goldfields,Colac Otway,Corangamite,Darebin,East Gippsland,Frankston,Gannawarra,Glen Eira,Glenelg,Golden Plains,Greater Bendigo,Greater Dandenong,Greater Geelong,Greater Shepparton,Hepburn,Hindmarsh,Hobsons Bay,Horsham,Hume,Indigo,Kingston,Knox,Latrobe,Loddon,Macedon Ranges,Manningham,Mansfield,Maribyrnong,Maroondah,Melbourne,Melton,Mildura,Mitchell,Moira,Monash,Moonee Valley,Moorabool,Moreland,Mornington Peninsula,Mount Alexander,Moyne,Murrindindi,Nillumbik,Northern Grampians,Port Phillip,Pyrenees,Queenscliffe,South Gippsland,Southern Grampians,Stonnington,Strathbogie,Surf Coast,Swan Hill,Towong,Wangaratta,Warrnambool,Wellington,West Wimmera,Whitehorse,Whittlesea,Wodonga,Wyndham,Yarra,Yarra Ranges,Yarriambiack
27/08,1,7,61,432,11,15,207,3,251,1842,0,7,183,896,2,98,2,602,6,217,2,193,20,18,100,437,348,49,2,0,402,12,1535,1,263,154,46,4,57,164,9,536,102,860,1044,6,84,11,270,723,39,967,171,10,1,9,131,3,251,3,2,11,3,249,2,18,5,0,2,13,17,1,185,1152,2,2018,438,242,1
28/08,1,7,61,431,11,15,212,3,254,1871,null,8,184,908,2,100,2,613,6,219,2,195,20,18,100,445,350,49,2,null,405,12,1550,1,270,154,46,4,57,165,9,553,103,862,1061,6,83,11,277,728,39,973,171,10,1,9,131,3,251,3,2,12,3,249,2,18,5,null,2,13,17,1,189,1159,2,2042,443,247,1
29/08,1,7,61,434,11,15,222,3,254,1890,0,9,185,913,2,99,2,622,5,223,2,199,20,18,102,454,352,49,2,0,415,12,1562,1,278,157,49,4,58,167,9,558,104,878,1068,6,85,11,288,738,39,982,172,9,1,9,133,3,256,3,2,12,3,250,2,18,5,0,2,13,17,1,193,1170,2,2062,447,249,1
30/08,1,7,61,437,11,15,227,3,256,1901,0,9,187,927,2,101,2,625,5,225,2,199,20,18,102,463,355,50,2,0,414,12,1565,1,281,157,50,4,58,168,10,565,104,880,1071,6,85,11,289,744,39,987,174,9,1,9,133,3,257,3,2,11,3,250,2,18,5,0,2,13,17,1,195,1172,2,2076,447,250,1
31/08,1,7,61,438,11,15,226,3,256,1903,null,9,189,933,2,102,2,630,5,224,2,198,20,18,102,462,356,50,2,null,417,12,1570,1,278,157,51,4,58,168,10,565,103,879,1082,6,85,11,291,743,39,988,180,9,1,9,133,3,258,3,2,11,3,251,2,18,5,null,2,13,17,1,195,1173,2,2092,450,249,1
01/09,1,7,61,439,11,15,231,3,258,1906,0,9,191,933,2,102,2,631,5,223,2,200,20,18,103,464,358,50,2,0,418,12,1578,1,279,157,51,4,58,168,10,564,103,882,1081,6,85,11,291,742,39,992,184,9,1,9,133,3,259,3,2,11,3,251,2,18,5,0,2,13,17,1,195,1175,2,2098,451,250,1
02/09,1,7,61,439,11,15,237,3,259,1907,0,9,193,946,2,104,3,631,5,224,2,202,20,18,104,470,356,50,2,0,432,12,1585,1,278,159,53,4,58,167,10,567,104,886,1082,6,85,12,295,744,39,999,185,9,1,9,133,3,264,3,2,11,3,248,2,18,5,0,2,13,16,1,196,1178,2,2110,453,250,1
03/09,1,7,61,440,11,15,241,3,259,1926,null,9,193,956,2,109,3,635,5,225,2,202,20,18,105,480,360,50,2,null,436,12,1597,1,290,159,54,4,58,169,10,575,104,870,1095,6,85,12,299,765,40,1007,186,9,1,9,133,3,268,3,2,11,3,248,2,18,5,null,2,13,16,1,199,1183,2,2135,453,253,1
04/09,1,7,61,439,11,15,246,3,259,1937,null,9,195,966,2,114,3,634,5,225,2,205,20,18,105,483,362,50,2,null,435,13,1601,1,295,160,54,4,58,169,10,578,105,876,1096,6,85,11,300,765,40,1012,186,9,1,9,133,3,273,3,2,11,3,249,2,18,5,null,2,13,16,1,199,1187,2,2138,455,252,1
05/09,1,7,60,437,11,15,246,3,258,1942,null,9,200,971,2,120,3,635,5,228,2,208,20,18,105,486,360,50,2,null,442,13,1606,1,296,160,54,4,58,169,10,576,105,880,1099,6,85,11,304,768,40,1013,186,9,1,9,134,3,277,3,2,11,3,248,2,18,5,null,2,13,16,1,199,1192,2,2143,456,252,1
06/09,1,7,60,435,11,15,245,3,258,1949,null,9,201,976,2,121,3,641,5,229,2,209,20,18,104,487,361,49,2,null,445,13,1610,1,297,159,54,4,58,168,10,576,104,883,1106,6,85,12,305,772,40,1015,184,9,1,9,133,3,279,3,2,12,3,251,2,18,5,null,2,13,16,1,201,1193,2,2152,457,252,1
07/09,1,7,60,435,11,15,245,3,259,1953,null,9,202,979,2,122,3,644,5,229,2,211,20,18,104,491,360,49,2,null,446,13,1616,1,299,160,55,4,57,167,10,577,104,883,1109,6,85,12,305,776,40,1016,184,9,1,9,133,3,276,3,2,12,3,253,2,18,5,null,2,13,16,1,201,1192,2,2155,458,252,1
08/09,1,7,60,435,11,15,247,3,260,1973,0,9,203,978,2,122,3,643,5,229,2,211,20,18,104,494,360,49,2,0,451,13,1615,1,301,160,55,4,57,167,10,578,104,882,1113,6,85,12,307,776,40,1018,184,9,1,9,133,3,279,3,2,12,3,252,2,18,5,0,2,13,16,1,200,1190,2,2157,459,252,1
09/09,1,7,59,434,11,15,248,3,261,1984,null,9,203,983,2,127,3,642,5,230,2,214,20,18,104,496,362,49,2,null,457,13,1619,1,302,160,56,4,57,167,10,579,104,885,1116,6,86,12,308,786,40,1020,183,9,1,9,134,3,281,3,2,12,3,255,2,18,5,null,2,13,16,1,200,1194,2,2172,459,252,1
10/09,1,7,59,434,11,15,249,3,261,1980,null,9,203,986,2,127,3,643,5,233,2,215,20,18,104,496,362,50,2,null,468,13,1618,1,302,160,56,4,57,167,10,576,105,887,1116,6,86,12,311,786,40,1024,183,9,1,9,131,3,281,3,2,12,3,257,2,18,5,null,2,13,16,1,202,1199,2,2176,462,252,1
11/09,1,7,59,433,11,16,247,3,261,1988,0,10,205,991,2,131,3,645,5,231,2,215,20,18,105,500,363,50,2,0,469,13,1624,1,302,160,56,4,57,167,10,576,105,889,1118,6,86,12,311,784,40,1024,183,9,1,9,131,3,283,3,2,12,3,259,2,18,5,0,2,13,16,1,203,1198,2,2181,462,252,1
